date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:55:30	24/24	---M--	200	added ('OK')	text/plain	date:Tue,%2026%20May%202020%2017:55:31%20GMT	http://pascalvangemert.nl/robots.txt		(from )
19:55:30	50432/50432	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202020%2017:55:31%20GMT	http://pascalvangemert.nl/	C:/Users/Kyerewaa/Desktop/clone%20files/webfiles/pascalvangemert.nl/index.html	(from )
19:55:32	109518/109518	---M--	200	added ('OK')	text/css	date:Tue,%2026%20May%202020%2017:55:32%20GMT	http://pascalvangemert.nl/view/css/bootstrap.min.css	C:/Users/Kyerewaa/Desktop/clone%20files/webfiles/pascalvangemert.nl/view/css/bootstrap.min.css	(from http://pascalvangemert.nl/)
19:55:33	10539/10539	---M--	200	added ('OK')	text/css	date:Tue,%2026%20May%202020%2017:55:32%20GMT	http://pascalvangemert.nl/view/style.css	C:/Users/Kyerewaa/Desktop/clone%20files/webfiles/pascalvangemert.nl/view/style.css	(from http://pascalvangemert.nl/)
19:55:33	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Tue,%2026%20May%202020%2017:55:34%20GMT	http://pascalvangemert.nl/favicon.ico	C:/Users/Kyerewaa/Desktop/clone%20files/webfiles/pascalvangemert.nl/favicon.ico	(from http://pascalvangemert.nl/)
19:55:34	1447/1447	---M--	200	added ('OK')	image/gif	date:Fri,%2016%20Aug%202019%2004:57:33%20GMT	https://www.paypalobjects.com/en_US/i/btn/btn_donate_SM.gif	C:/Users/Kyerewaa/Desktop/clone%20files/webfiles/www.paypalobjects.com/en_US/i/btn/btn_donate_SM.gif	(from http://pascalvangemert.nl/)
19:55:34	43/43	---M--	200	added ('OK')	image/gif	date:Fri,%2016%20Aug%202019%2004:57:41%20GMT	https://www.paypalobjects.com/nl_NL/i/scr/pixel.gif	C:/Users/Kyerewaa/Desktop/clone%20files/webfiles/www.paypalobjects.com/nl_NL/i/scr/pixel.gif	(from http://pascalvangemert.nl/)
19:55:34	25361/25361	---M--	200	added ('OK')	image/png	date:Tue,%2026%20May%202020%2017:55:35%20GMT	http://pascalvangemert.nl/view/images/pascal_van_gemert.png	C:/Users/Kyerewaa/Desktop/clone%20files/webfiles/pascalvangemert.nl/view/images/pascal_van_gemert.png	(from http://pascalvangemert.nl/)
19:55:39	33043/33043	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20May%202020%2017:55:36%20GMT	http://pascalvangemert.nl/view/images/project_soap.jpg	C:/Users/Kyerewaa/Desktop/clone%20files/webfiles/pascalvangemert.nl/view/images/project_soap.jpg	(from http://pascalvangemert.nl/)
19:55:40	27799/27799	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20May%202020%2017:55:36%20GMT	http://pascalvangemert.nl/view/images/project_oetelspel.jpg	C:/Users/Kyerewaa/Desktop/clone%20files/webfiles/pascalvangemert.nl/view/images/project_oetelspel.jpg	(from http://pascalvangemert.nl/)
19:55:42	50432/50432	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202020%2017:55:41%20GMT	http://pascalvangemert.nl/?ref=twitter	C:/Users/Kyerewaa/Desktop/clone%20files/webfiles/pascalvangemert.nl/indexf519.html	(from http://pascalvangemert.nl/)
19:55:42	51616/51616	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20May%202020%2017:55:36%20GMT	http://pascalvangemert.nl/view/images/project_mals.jpg	C:/Users/Kyerewaa/Desktop/clone%20files/webfiles/pascalvangemert.nl/view/images/project_mals.jpg	(from http://pascalvangemert.nl/)
19:55:43	4049/4049	---M--	200	added ('OK')	application/javascript	date:Tue,%2026%20May%202020%2017:55:43%20GMT	http://pascalvangemert.nl/view/js/script.js	C:/Users/Kyerewaa/Desktop/clone%20files/webfiles/pascalvangemert.nl/view/js/script.js	(from http://pascalvangemert.nl/)
19:55:46	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2026%20May%202020%2017:55:44%20GMT	http://pascalvangemert.nl/view/fonts/glyphicons-halflings-regular.eot	C:/Users/Kyerewaa/Desktop/clone%20files/webfiles/pascalvangemert.nl/view/fonts/glyphicons-halflings-regular.eot	(from http://pascalvangemert.nl/view/css/bootstrap.min.css)
19:55:47	31819/31819	---M--	200	added ('OK')	application/javascript	date:Tue,%2026%20May%202020%2017:55:44%20GMT	http://pascalvangemert.nl/view/js/bootstrap.min.js	C:/Users/Kyerewaa/Desktop/clone%20files/webfiles/pascalvangemert.nl/view/js/bootstrap.min.js	(from http://pascalvangemert.nl/)
